transitNr;orderNr;driverName;customerName;transitType;transitTypeShort;Status;countAllOrders;statusGreater30min;statusSerialSet;statusDateTime;statusHrsMin;distanceKm;statusGreater1km;DivisionCity;statusDate;remarks;latCust;lonCust;latApp;lonApp
T992414130;250492453; Manuel Ryan;Customer 2522;pickup;P;delivered;20;1;1;18.11.2020 15:30;15:30;35,42;1;Katowice;18.11.2020;;50.34031677;18.55600357;50.2617316;19.0377064
T992414130;250771886; Manuel Ryan;Customer 2522;pickup;P;delivered;20;;;18.11.2020 15:30;15:30;35,42;;Katowice;18.11.2020;Which gate should I go through;50.34031677;18.55600357;50.2617316;19.0377064
T992414130;250245409; Manuel Ryan;Customer 2522;pickup;P;delivered;20;;;18.11.2020 15:30;15:30;35,42;;Katowice;18.11.2020;;50.34031677;18.55600357;50.2617316;19.0377064
T992414130;250653031; Manuel Ryan;Customer 1895;delivery;D;delivered;20;1;1;18.11.2020 06:17;06:00;0,08;;Katowice;18.11.2020;;50.36977997;18.53182453;50.3705299;18.5318664
T997894139;250189974; Julius Craig;Customer 4953;pickup;P;delivered;23;;;18.11.2020 14:33;14:30;0,56;;Katowice;18.11.2020;;50.11995697;18.63864517;50.1248264;18.6403716
T997894139;250531285; Julius Craig;Customer 4951;pickup;P;delivered;23;1;1;18.11.2020 14:33;14:30;0,59;;Katowice;18.11.2020;;50.11995697;18.63864517;50.1220464;18.6310559
T997894139;250990822; Julius Craig;Customer 4951;pickup;P;delivered;23;1;;18.11.2020 14:32;14:30;0,56;1;Katowice;18.11.2020;;50.11995697;18.63864517;50.1248264;18.6403716
T997894139;250662939; Julius Craig;Customer 4951;pickup;P;delivered;23;1;;18.11.2020 14:32;14:30;0,56;;Katowice;18.11.2020;;50.11995697;18.63864517;50.1248264;18.6403716
T997894139;250637986; Julius Craig;Customer 4951;pickup;P;delivered;23;1;;18.11.2020 14:32;14:30;0,59;1;Katowice;18.11.2020;;50.11995697;18.63864517;50.1220464;18.6310559
T997894139;250180666; Julius Craig;Customer 4951;pickup;P;delivered;23;1;1;18.11.2020 14:32;14:30;0,59;1;Katowice;18.11.2020;;50.11995697;18.63864517;50.1220464;18.6310559
T997894139;250749223; Julius Craig;Customer 4951;pickup;P;delivered;23;1;1;18.11.2020 14:32;14:30;0,56;1;Katowice;18.11.2020;;50.11995697;18.63864517;50.1248264;18.6403716
T997894139;250963579; Julius Craig;Customer 4952;pickup;P;delivered;23;1;;18.11.2020 14:33;14:30;0,59;;Katowice;18.11.2020;;50.11995697;18.63864517;50.1220464;18.6310559
T997894139;250938164; Julius Craig;Customer 4952;pickup;P;delivered;23;;;18.11.2020 14:33;14:30;0,59;;Katowice;18.11.2020;;50.11995697;18.63864517;50.1220464;18.6310559
T997894139;250831884; Julius Craig;Customer 4952;pickup;P;delivered;23;;;18.11.2020 14:32;14:30;0,85;;Katowice;18.11.2020;;50.11995697;18.63864517;50.1275847;18.6397922
T997894139;250316524; Julius Craig;Customer 3888;pickup;P;delivered;23;1;1;18.11.2020 11:53;11:30;0,85;;Katowice;18.11.2020;;50.0797014;18.07492999;50.0733418;18.0683222
T997894139;250514659; Julius Craig;Customer 550;delivery;D;delivered;23;;1;18.11.2020 11:33;11:30;0,02;;Katowice;18.11.2020;;50.07972717;17.99272919;50.0798737;17.9926607
T997894139;250445006; Julius Craig;Customer 4731;delivery;D;delivered;23;;;18.11.2020 10:26;10:00;0,03;;Katowice;18.11.2020;;50.0959816;18.20778656;50.0957075;18.2076096
T997894139;250978683; Julius Craig;Customer 2769;pickup;P;delivered;23;1;;18.11.2020 13:24;13:00;0,22;;Katowice;18.11.2020;;50.11095428;18.27313232;50.1128274;18.2719899
T997894139;250837430; Julius Craig;Customer 4389;delivery;D;delivered;23;;1;18.11.2020 08:40;08:30;0,09;;Katowice;18.11.2020;;50.10604477;18.2376442;50.1061146;18.2363934
T997894139;250982875; Julius Craig;Customer 4389;delivery;D;delivered;23;1;;18.11.2020 08:40;08:30;0,09;;Katowice;18.11.2020;;50.10604477;18.2376442;50.1061146;18.2363934
T997894139;250180838; Julius Craig;Customer 2785;delivery;D;delivered;23;;;18.11.2020 12:47;12:30;0,02;;Katowice;18.11.2020;;50.15822983;18.15465546;50.1581254;18.1549647
T997894139;250845975; Julius Craig;Customer 2727;delivery;D;delivered;23;1;;18.11.2020 11:03;11:00;0,07;;Katowice;18.11.2020;;50.02412415;18.11666107;50.0246381;18.1171838
T997894139;250777806; Julius Craig;Customer 1512;delivery;D;delivered;23;1;;18.11.2020 12:35;12:30;239,44;;Katowice;18.11.2020;;51.00228119;21.22159576;50.1363525;18.126994
T997894139;250772018; Julius Craig;Customer 777;delivery;D;delivered;23;1;1;18.11.2020 10:14;10:00;0,02;;Katowice;18.11.2020;;50.09187272;18.22160069;50.0917294;18.2215863
