transitNr;orderNr;driverName;customerName;transitType;transitTypeShort;Status;countAllOrders;statusGreater30min;statusSerialSet;statusDateTime;statusHrsMin;distanceKm;statusGreater1km;DivisionCity;latCust;lonCust;latApp;lonApp
T991978759;250318395; Chris Schmidt;Customer 562;delivery;D;delivered;26;1;NULL;17.11.2020 10:46;10:30;2,31;1;Cracow;50,1125412;19,80290985;50,11279105;19,83526949
T991978759;250920368; Chris Schmidt;Customer 1737;delivery;D;delivered;26;1;1;17.11.2020 11:45;11:30;0,03;NULL;Cracow;50,13177872;19,62158203;50,13160866;19,62181916
T991978759;250279409; Chris Schmidt;Customer 3355;delivery;D;delivered with problems;26;NULL;NULL;17.11.2020 09:37;09:30;0,28;NULL;Cracow;50,09281158;19,89823532;50,09046542;19,89954849
T996937171;250418729; Roger Banks;Customer 530;delivery;D;not delivered;13;1;1;17.11.2020 15:46;15:30;11,32;1;Cracow;50,02534485;20,21315384;50,0087769;20,0573586
T996937171;250254589; Roger Banks;Customer 3664;delivery;D;delivered;13;NULL;NULL;17.11.2020 15:20;15:00;0,76;NULL;Cracow;50,01461029;20,10501862;50,0211567;20,1082837
T996937171;250395158; Roger Banks;Customer 1480;delivery;D;delivered;13;1;NULL;17.11.2020 14:09;14:00;0,1;NULL;Cracow;50,06082535;19,97407532;50,0615463;19,9748342
T996937171;250666372; Roger Banks;Customer 3332;delivery;D;delivered;13;1;NULL;17.11.2020 13:46;13:30;0,2;NULL;Cracow;50,06452942;19,99953842;50,0628818;19,998465
T996937171;250494017; Roger Banks;Customer 3511;delivery;D;delivered;13;1;1;17.11.2020 13:46;13:30;0,2;NULL;Cracow;50,06452942;19,99953842;50,0628818;19,998465
T996937171;250680933; Roger Banks;Customer 3405;delivery;D;delivered;13;NULL;NULL;17.11.2020 13:46;13:30;0,2;NULL;Cracow;50,06452942;19,99953842;50,0628818;19,998465
T996937171;250487228; Roger Banks;Customer 2362;delivery;D;delivered;13;1;1;17.11.2020 14:38;14:30;0,03;NULL;Cracow;50,0823288;20,02219009;50,0823886;20,0217495
T996937171;250394080; Roger Banks;Customer 1345;delivery;D;delivered;13;NULL;NULL;17.11.2020 14:51;14:30;0,03;NULL;Cracow;50,07416916;20,01948547;50,0738616;20,0194282
T996937171;250788261; Roger Banks;Customer 5392;pickup;P;delivered;13;1;1;17.11.2020 15:40;15:30;0,28;NULL;Cracow;49,99218083;20,04826799;49,9947275;20,0482562
T996937171;250365429; Roger Banks;Customer 3450;delivery;D;delivered;13;NULL;1;17.11.2020 13:46;13:30;0,2;NULL;Cracow;50,06451797;19,99954224;50,0628818;19,998465
T996937171;250760775; Roger Banks;Customer 5392;pickup;P;delivered;13;1;1;17.11.2020 15:40;15:30;0,28;NULL;Cracow;49,99218083;20,04826799;49,9947275;20,0482562
T996937171;250738686; Roger Banks;Customer 5392;pickup;P;delivered;13;NULL;NULL;17.11.2020 15:40;15:30;0,28;NULL;Cracow;49,99218083;20,04826799;49,9947275;20,0482562
T996937171;250513330; Roger Banks;Customer 5392;pickup;P;delivered;13;NULL;NULL;17.11.2020 15:40;15:30;0,28;NULL;Cracow;49,99218083;20,04826799;49,9947275;20,0482562
T991133078;250458763; Francis Holmes;Customer 4090;pickup;P;delivered;23;1;1;17.11.2020 17:37;17:30;18,68;NULL;Cracow;49,971138;20,29813004;50,0059721;20,0432598
T991133078;250272991; Francis Holmes;Customer 4090;pickup;P;delivered;23;1;NULL;17.11.2020 17:37;17:30;18,97;NULL;Cracow;49,971138;20,29813004;50,0059653;20,039245
